Review,Noun (phrase) - Adjective (phrase),Manually chosen top 5 pairs,,Rating
"Surreal beyond words
We were there in December of 2017 for the Northern Lights with Lights over Lapland. The 17-hour train journey into the Arctic circle was just a glimpse into what would be our most memorable experience. The sheer vastness, the pure white snow & ice, the silence of nature, the still winter trees - it was nature doing what she does best - make us speechless. Our Northern Lights & Dog-sledding experiences will remain entrenched in our minds & memories forever. We'll back :)","experience - most memorable
vastness - sheer
snow & ice - pure white
nature - silence
winter trees - still",,,5
"A stunning landscape and great cabins at Bjorkliden Kappas village
A stunning landscape and if the weather is kind in winter a place of great beauty even though relatively isolated. Being inland can get super cold though - should have more clear skies and auroras but we missed out on the mega displays they had the week earlier when Siberian front hit. Acess is flights via Stockholm to Kiruna and either taxi or the airport and cabin minibus shuttle.","landscape - stunning
cabins - great
place - great beauty
skies - clear
displays - mega",,,4
"Winter wonderland
This is a great place to sled, ski, wonder at the beauty of so many silver birch (very few firs as they struggle to get established in their first year) and, of course, look at the aurora.

The week we were there has just one day when the sky wasn't mostly (or completely) clear. Very little wind. The ""blue hole of Abisko"" was very real - we travelled in either direction east/west on E10 and the weather changed within 40km.","place - great
wind - very little",,,4
"Arctic nature
The park is located in a nice area full of lakes and between mountains. Is a protected site for birds breeding and offers interesting hiking trails that allows the exploration of the valley and the local Flora. Unfortunately the naturium center was closed during the winter so we probably lost some opportunities to learn more about the park. Also probably a map with clearly indicated trails for snowshoeing would help better the tourists to orientate themselves in the park and better understand where they will go following the different paths.","area - nice
site - protected
hiking trails - interesting",,,4
"Just amazing
We visited Abisko national park during our overland trip from Dubai to European countries. We could spend only a night there. It's so peaceful and loads of flora and fauna. There is beauty everywhere. Pristine lakes and mountain peaks with snow. The mid night sun makes it all the more beautiful. Wish we could stay longer.",lake - pristine,,,5
"Northern nature at its best
The Park is peaceful, welcoming and wild.
Hiking there is like hiking in wonderland, the plants, trees and wild life.
The STF huts are just in place, not even scratch the harmony.
One of the best backpacking places I've been in, highly recommended.","park - peaceful, welcome and wild
backpacking places - one of the best",,,5
"Lovable
I simply love this place, the vast lake, tall mountains, wild forests and tundra all together. If it is serenity, adventure, challenge or just spectacular view you are after, you will all find it here. And most of it within the reach of 10 minutes walk. It is the most iconic national park in Sweden and there is a reason for it.","lake - vast
mountains - tall
forests - wild
view - spectacular
national park - most iconic",,,5
"Just stunning scenery
We spent hours walking around the park and found the scenery spectacular. The Gorge was amazing with the frozen waterfall and river creating wonderful ice sculptures. The ""u"" shaped valley dominates the skyline and the snow covered hills and mountains make a superb backdrop. We drove dog sleds through the park and had to be careful not to be distracted by the views.","scenery - stunning
scenery - spectacular
gorge - amazing
waterfall - frozen
hills and mountains - snow covered
backdrop - superb",,,5
"A really nice walk in the park even in winter!
Came for the Northern Light but this only happens in the dark. What a better way to walk in the national park during the daylight hours. Enjoyed our walk in the marked path but can be difficult to know where you are going in the winter snow since most of the path were buried in snow. The walk to the lake takes about 20 mins (i guess) from the hotel building.","walk - really nice
path - marked
path - buried in snow",,,4
"Follow the signs.
On our recent trip to Abisko we took a walk in the National Park. My husband had already done this walk two days earlier and got hopelessly lost and had to retrace his steps to get back to base. So we decided to take the same walk to see where he went wrong. It was an orange marked walk which was estimated to take 2 hrs to complete. We started off in heavy snowy conditions and managed to follow the orange markers which were on the trunks of trees along the route every 50 yards or thereabouts. The route was lovely, taking us alongside the frozen river and into birch tree woods. We arrived at a bend in the track where the heavily trampled snow veered off to the left and I followed this instinctively as there were posts along the track with red exes on them, denoting Winter Track. My husband said that this was what he did the time before and he hadn't seen any further orange signs after doing so. So I backtracked and we both searched for an orange sign on a tree. We eventually spotted one a good way off in another direction but it was not easy to find and the track was not well trodden. All was well this time and we finished our walk in the park without further problem. I think the Park Rangers should certainly check the signage especially in winter conditions for the use of non locals. It would not be a nice thing to find yourself wandering in sub zero temperatures when darkness falls here.","walk - orange marked
conditions - heavy snowy
route - lovely
river - frozen
snow - heavily trampled
track - not well trodden",,,4
"We saw the Northern Lights!!
Like everyone who visits Lapland, of course we really wanted to see the Northern Lights during our visit and we're worried we would be unlucky. It had been cloudy and snowing in Kiruna for days, but on our last night we drove up to Abisko National Park with our fingers crossed. It was still cloudy and snowing when we arrived, but it cleared up by nighttime and we were able to see the Northern Lights from behind the STF lodge! We took the trail that goes down to the lake and saw even more from there. Truly amazing!

Aside from that, we weren't able to do much hiking because it was so snowy and icy. However we did the ""canyon"" trail and the trail down to the lake and back during the day, which were both pleasant and very easy for all sorts of hikers. We saw some ice climbers in the canyon, which was cool!",trail - pleasant and very easy,,,5
"Northern Lights & More
I visited Abisko for four nights in the middle of February, and had a wonderful time. What people say about the region's unique micro-climate is absolutely true. Dark, cloudy days magically turn clear at sunset, when the stars suddenly appear. What I did notice is that evening weather conditions are typically the opposite of daytime conditions. Clearer days seem to lead to cloudier nights, and vice-versa. Make sure you check the Sky Station and Lights Over Lapland webcams for current aurora sightings. Step outside shortly after sunset. If you see stars, that's a great sign.

The sky station is a real must. The chairlift itself is like a ride into space. You glide up to a snow-covered mountain surrounded by brilliant stars. Although it's a bit of a climb up a winding staircase, there is a small rooftop at the station that is perfect for aurora photography--skip the unstable conditions on the mountain and use this as a sturdy base for your tripod. The rooftop also has a sturdy guardrail, and a number of people without tripods were able to take great photos using the rail to stabilize their cameras.","time - wonderful
days- dark, cloudy
sign - great
must - real
mountain - snow-covered
stars - brilliant
staircase - winding
rooftop - small
conditions - unstable
base - sturdy
guardrail - sturdy
photos - great",,,5
"Pristine and gorgeous
Even without the Aurora Borealis this would be worth the visit. We took a hike on snow shoes with a local guide. They have large hills to climb that give views of the whole valley which has a huge, mountain ringed lake to look down upon.
If you like photography there are so many gorgeous options to shoot. There is a collection of Sami, the indigenous people of the Lapland, dwellings to visit. The natural beauty is astounding. There are moose, elusive wolverines and Arctic hares in the area. Abisko has a uniquely shaped mountain range that looks like to had a huge bite out of it. It is where a glacier receded long ago. Stunning to photograph. Well worth a visit. Feels like you are above the entire world.","hills - large
lake - huge, mountain ringed
options - gorgeous
people of the Lapland - indigenous
natural beauty - astounding
mountain range - uniquely shaped",,,5
"Magnificnent park for aurora viewing
Just returned from fabulous trip to Abisko with a group of ten friends. We went with a tour company Lights Over Lapland which was outstanding. The photographer guide an Englishman named Oliver was amazing- helpful knowledgeable and always available patient and friendly The setting is spectacular- we were lucky with clear sunny days, hoarfrost ice crystals on the trees and glorious views over frozen lake We saw the aurora on several nights, most impressively from the ski lift and Sky Station- it was an awesome experience. A 12 km dog sledding excursion was tremendous fun as well Rooms were small but clean and perfectly adequate, meals were excellent and the lodge fosters camaraderie","park - magnificent
trip - fabulous
tour company - outstanding
photographer guide - amazing
setting - spectacular
days - clear sunny
views - glorious
lake - frozen
experience - awesome
dog sledding excursion - tremendous fun
rooms - small but clean and perfectly adequate
meals - excellent",,,5
"Awesome and humbling
We visited the Abisko National Park in Feb 2017 and even though the weather was unusually mild (mostly only minus 7 degrees) the snowy landscape wilderness was awesome.
We saw Arctic hares and plenty of animal tracks of unknown creatures among the birch forest. Such a beautiful place, no mossies in winter, yay!
We visited the Sky centre and saw magical aurora, we can't wait to come back! Stunning!","weather - unusually mild
snowy landscape wilderness - awesome
place - beautiful
aurora - magical",,,5
"A blissful, cold but cosy adventure
When we arrived at Abisko National Park we were welcomed by glittering vastness of fresh snow and snowfall, which, coupled with the very serene atmosphere, was sheer bliss.

Visiting mid-December we witnessed days of twilight. Nights were (surprisingly) around -7§C lowest, skies mainly cloudy and of the few days we were, Northern Lights presented themselves fairly faintly! Nevertheless, when clearer skies did appear it was a wonderful location to stargaze.

Accommodation (Abisko Guesthouse) was cosy, clean and quiet with very hospitable staff.","fresh snow and snowfall - glittering vastness
atomosphere - very serene
bliss - sheer
skies - mainly cloudy
Northern Lights - faily faintly
skies - clearer
location - wonderful",,,5
"Visiting the Sami traditional camp reconstruction in the National park
The Sami traditional camp is the only structure in the National Park that was not closed when we visited in late October. It is 500m from the Tourist Centre and is a quiet meditative space amongst the Birch trees. There is a reconstruction of each of the type of structures found in a Sami traditional camp with a short description of each structure in Swedish and English. It would be beneficial if an information board could be set up near the entrance to the camp to tell us more about the Sami people. There must be so much interesting information available that could provide more context to the camp.","space - quiet meditative
description - short",,,3
"Rude staff
I did dog sleigh last january 12' 2018. We were staying at stf abisko and this girl came to pick us up. I forgot her name but she is spanish and a little bit boyish.
First she was late which is ok,then we head to the office to change our clothes. While giving the suits and the shoes shes very lazy to change the size. Especially with the shoes like for me my sboe size varies from 39-40 depending on the type of the shoes. So when i ask her to change mine she said ""you told me earlier this was your size now you want to change"" and then i told her because your shoes have differnt size depending of the brand. From then on she didnt talk to us. And luckily we joined a different team which has a male guide who is very very sweet.
Beware of this tour guide. Shane i forgot her name but shes spanish and very rude.
All in all the tour is good and the dogs are cute.","team - different
guide - male
tour - good
dogs - cute",,,1
"Cavalier activities
Whilst visiting the park on 25th March 2015...(signage left a lot to be desired)...observed an organised group of ice climbers in the canyon. Horrified to see that the ropes were attached directly around the trees...no padding or protection at all. Ignorant at best, criminal negligence at worst...even teenagers slack-lining in a park will protect the bark of a tree!
Subsequent emails to Abisko Naturem and Tourist Centre in Kiruna have gone unanswered.
You either care about the fragile arctic ecosystem, or you simply take the easy money...sad!","group of ice climbers - organised
emails - subsequent
arctic ecosystem - frgile
money - easy
negligence - criminal",,,1
https://www.tripadvisor.com.sg/Attraction_Review-g774912-d1027781-Reviews-Abisko_National_Park-Abisko_Norrbotten_County.html,,,,
